network_size,exp,tries,time[us]
6000,11,1883,210263580
6000,12,7804,890197840
6000,13,3388,378232298
6000,14,1183,137504538
6000,15,3215,364907797
6000,16,23796,2672724600
6000,17,8270,969855000
6000,18,2681,298894720
6000,19,6332,715455944
6000,20,12127,1390088088
6000,21,1815,207478860
6000,22,2455,273707616
6000,23,2682,307735362
6000,24,7259,812131086
6000,25,12642,1405301963
6000,26,9935,1143561695
6000,27,357,41278721
6000,28,5233,587380010
6000,29,2761,314456511
6000,30,9647,1082641725
6000,31,9205,1049647104
6000,32,13626,1576238804
6000,33,6402,735144388
6000,34,2878,326305296
6000,35,3852,435216710
6000,36,2900,334026576
6000,37,470,54145056
6000,38,1947,221483670
6000,39,244,28030560
6000,40,968,113355895
6000,41,3671,420582048
6000,42,3821,436913055
6000,43,11999,1396736208
6000,44,172,21101234
6000,45,4384,502547690
6000,46,10444,1178366560
6000,47,420,47528208
6000,48,12510,1413489402
6000,49,315,36396800
6000,50,26063,2977525276
6000,51,2906,329407363
6000,52,8667,966668598
6000,53,5372,603581130
6000,54,2469,280388276
6000,55,10002,1131960384
6000,56,375,42004902
6000,57,5237,583924000
6000,58,2562,296627248
6000,59,5522,638310546
6000,60,1153,127598876
6000,61,14991,1713018778
6000,62,9048,1036192414
6000,63,4284,476595638
6000,64,13047,1465714350
6000,65,22538,2577471959
6000,66,405,47281917
6000,67,5381,611790925
6000,68,8983,1010887020
6000,69,4843,544580443
6000,70,13056,1455868425
6000,71,3188,368138808
6000,72,11874,1330574136
6000,73,8903,1015950936
6000,74,1007,115248006
6000,75,7172,825084140
6000,76,857,95088952
6000,77,2474,275824143
6000,78,14091,1594438903
6000,79,6276,714377400
6000,80,5955,675425088
6000,81,7909,877952380
6000,82,8551,953619804
6000,83,2759,320204014
6000,84,7892,892043265
6000,85,14654,1653878262
6000,86,834,94169556
6000,87,9322,1064815332
6000,88,2561,291728821
6000,89,3177,365911447
6000,90,13624,1588681068
6000,91,3095,355457676
6000,92,3151,358042906
6000,93,1174,133179810
6000,94,5629,644169744
6000,95,668,74046469
6000,96,18069,2052546660
6000,97,2872,325444365
6000,98,459,52787890
6000,99,19422,2215428288
7000,0,3376,388012912
7000,1,612,70091175
7000,2,8821,998345600
7000,3,19978,2269859548
7000,4,3205,362915698
7000,5,21658,2455400619
7000,6,1153,131188540
7000,7,20890,2372081999
7000,8,14357,1622231208
7000,9,2068,236000838
7000,10,2545,285509440
7000,11,3397,392455665
7000,12,3886,436896000
7000,13,8850,996063530
7000,14,2029,228779064
7000,15,11002,1222040860
7000,16,14786,1681522584
7000,17,599,69129087
7000,18,3481,400632300
7000,19,4595,518881451
7000,20,12399,1438680600
7000,21,9041,1027545204
7000,22,4615,542107976
7000,23,5962,669163000
7000,24,6396,724689666
7000,25,503,58369497
7000,26,13156,1531983075
7000,27,1755,197009382
7000,28,354,41188875
7000,29,7124,810064831
7000,30,3641,413529776
7000,31,7707,881201562
7000,32,14250,1670956826
7000,33,7998,912675912
7000,34,9140,1041907500
7000,35,1437,164223995
7000,36,14397,1632850666
7000,37,18558,2103019548
7000,38,2107,243206240
7000,39,9975,1112690800
7000,40,10696,1217085943
7000,41,2529,284163012
7000,42,73,8555520
7000,43,7879,886393456
7000,44,14643,1682007948
7000,45,1590,186098613
7000,46,3653,415112554
7000,47,4385,500324495
7000,48,214,26325123
7000,49,15404,1767372570
7000,50,1956,223367868
7000,51,15635,1812656466
7000,52,6739,780905118
7000,53,6105,698437740
7000,54,6260,704890572
7000,55,4725,542953820
7000,56,11422,1281873595
7000,57,25409,2898749700
7000,58,38930,4479532992
7000,59,8659,997177500
7000,60,5945,709705535
7000,61,13788,1584702875
7000,62,5467,626006160
7000,63,3755,423838800
7000,64,6454,719545144
7000,65,2241,258142464
7000,66,7456,848987110
7000,67,549,62555625
7000,68,26097,3005527035
7000,69,780,89164404
7000,70,868,98801433
7000,71,8161,926951560
7000,72,5636,646172824
7000,73,1904,222542056
7000,74,227,26685060
7000,75,8006,924735240
7000,76,11167,1275888744
7000,77,8793,1009689165
7000,78,12737,1428442097
7000,79,3639,420469973
7000,80,9402,1056612550
7000,81,4095,465636509
7000,82,8697,1004517692
7000,83,3773,425650835
7000,84,1957,227802105
7000,85,476,55725740
7000,86,3873,451751202
7000,87,4062,462590092
7000,88,10729,1227785156
7000,89,2005,225522726
7000,90,1247,142104512
7000,91,11956,1356044088
7000,92,5642,644345195
7000,93,11520,1312716444
7000,94,3827,450084224
7000,95,7607,875571798
7000,96,12912,1480290188
7000,97,15799,1855447200
7000,98,2745,309591828
7000,99,4055,467376021
8000,0,12780,1445813955
8000,1,1322,148429368
8000,2,26252,2992197608
8000,3,5796,666946584
8000,4,65,7408362
8000,5,1498,168257466
8000,6,11213,1249150815
8000,7,1902,216815424
8000,8,13204,1491966308
8000,9,4637,530876367
8000,10,1429,163988145
8000,11,176,19535650
8000,12,1025,117798710
8000,13,8718,997924690
8000,14,840,92849640
8000,15,18249,2082821325
8000,16,7250,819339137
8000,17,1326,151667838
8000,18,4477,500216880
8000,19,12173,1376263850
8000,20,5864,671234200
8000,21,5686,636725922
8000,22,2696,307511703
8000,23,2048,231121428
8000,24,5260,597425740
8000,25,7853,877156891
8000,26,11833,1366361904
8000,27,3740,440726265
8000,28,826,95873155
8000,29,453,52439065
8000,30,1825,211444298
8000,31,2620,293243467
8000,32,20835,2399831803
8000,33,10784,1230701320
8000,34,8159,937159340
8000,35,4167,473450081
8000,36,2197,245083528
8000,37,927,107874690
8000,38,4769,540908900
8000,39,6594,759491082
8000,40,2210,251906902
8000,41,1468,165558138
8000,42,4317,489126400
8000,43,2573,292299024
8000,44,8611,971995175
8000,45,18356,2050777440
8000,46,2647,302165550
8000,47,9350,1051145694
8000,48,15650,1800681615
8000,49,2027,233886885
8000,50,14299,1651240955
8000,51,8464,965587182
8000,52,12150,1393586133
8000,53,610,70061177
8000,54,2986,347171960
8000,55,2781,320365098
8000,56,10931,1256657408
8000,57,3441,396105100
8000,58,637,71879680
8000,59,22400,2496143508
8000,60,10251,1192274406
8000,61,5897,655295232
8000,62,14324,1605298100
8000,63,10306,1194711103
8000,64,1813,204489225
8000,65,2617,301013310
8000,66,7333,814697580
8000,67,4621,526829160
8000,68,11219,1305461986
8000,69,1381,156123048
8000,70,1658,184703246
8000,71,4668,522958240
8000,72,1232,140154687
8000,73,5667,653084640
8000,74,6236,710176968
8000,75,11067,1266147590
8000,76,8283,940402638
8000,77,12868,1472080162
8000,78,1744,193605203
8000,79,3034,337665900
8000,80,6991,789021306
8000,81,10154,1134103796
8000,82,3327,384352300
8000,83,537,61408108
8000,84,3107,349306400
8000,85,6617,791277291
8000,86,1621,192239124
8000,87,13325,1488221700
8000,88,2915,326654840
8000,89,29265,3357337865
8000,90,82,9535415
8000,91,9712,1134421338
8000,92,1499,171402000
8000,93,893,102876426
8000,94,4984,571749216
8000,95,19918,2281707451
8000,96,3994,450980478
8000,97,3982,457785328
8000,98,3649,425569315
8000,99,15977,1794018304
9000,0,1253,145147860
9000,1,555,64848225
9000,2,13754,1570023700
9000,3,1693,190911034
9000,4,6961,786102074
9000,5,10124,1162670040
9000,6,17702,2055801162
9000,7,1611,188386000
9000,8,32871,3694635594
9000,9,29142,3262705440
9000,10,10036,1149955380
9000,11,8167,913223410
9000,12,6126,706928034
9000,13,7669,878977112
9000,14,10453,1182781048
9000,15,195,22684652
9000,16,10191,1154401192
9000,17,6517,741688244
9000,18,12639,1422109000
9000,19,16984,1931644225
9000,20,12802,1429094626
9000,21,6575,760766688
9000,22,2157,240615024
9000,23,1180,131865115
9000,24,19432,2187719200
9000,25,937,109598400
9000,26,13590,1572358821
9000,27,329,37428626
9000,28,131,14851475
9000,29,3438,384502336
9000,30,3731,427927921
9000,31,5080,584412312
9000,32,15014,1696400880
9000,33,7567,856726080
9000,34,201,22614012
9000,35,20743,2316315957
9000,36,8088,899474011
9000,37,3633,420262633
9000,38,13224,1507618962
9000,39,7551,860294164
9000,40,9906,1106226568
9000,41,7104,794449012
9000,42,3771,426460953
9000,43,8050,899958210
9000,44,15492,1767631968
9000,45,29848,3386084779
9000,46,1829,209838808
9000,47,8141,947132956
9000,48,5837,651428311
9000,49,11500,1304682624
9000,50,19177,2191957300
9000,51,18289,2078883352
9000,52,7814,895901778
9000,53,853,98690625
9000,54,9531,1076671032
9000,55,5512,628879284
9000,56,3275,364667520
9000,57,2669,303517032
9000,58,12071,1381097300
9000,59,8878,1032934150
9000,60,2155,239606136
9000,61,7270,840987440
9000,62,10925,1228150782
9000,63,6162,706368850
9000,64,11658,1342792681
9000,65,8007,901245592
9000,66,5731,649385463
9000,67,1849,208013300
9000,68,25597,2895012232
9000,69,1155,129604080
9000,70,1627,184103339
9000,71,11254,1285096936
9000,72,2561,294900618
9000,73,1520,176604480
9000,74,11998,1382802134
9000,75,11301,1307017800
9000,76,13291,1494806517
9000,77,1446,162892687
9000,78,36273,4145293120
9000,79,9463,1088466300
9000,80,6209,715355235
9000,81,9217,1034338296
9000,82,37623,4294887240
9000,83,4297,480007296
9000,84,9037,1014279514
9000,85,17210,1941571372
9000,86,17110,1971577640
9000,87,429,49203924
9000,88,5738,648401976
9000,89,9574,1089844383
9000,90,730,83158506
9000,91,13156,1497355572
9000,92,20010,2292484264
9000,93,368,41569758
9000,94,4906,560814606
9000,95,1565,173679000
9000,96,7090,815197935
9000,97,11666,1313249652
9000,98,2824,319540839
9000,99,21100,2432139434
10000,0,4292,479870696
10000,1,26547,3039903100
10000,2,3642,416158464
10000,3,5490,616171248
10000,4,5345,602882162
10000,5,540,61141800
10000,6,9845,1115624250
10000,7,219,24514984
10000,8,13179,1504484832
10000,9,14618,1684637592
10000,10,6550,731330768
10000,11,24808,2798240500
10000,12,15988,1945087385
10000,13,22499,2583020111
10000,14,94,10754076
10000,15,28354,3222894024
10000,16,1133,127790485
10000,17,20096,2282521934
10000,18,957,107179936
10000,19,8267,949472010
10000,20,10942,1242200982
10000,21,10140,1130757928
10000,22,1518,172227853
10000,23,1629,185842371
10000,24,253,29355549
10000,25,3572,408323370
10000,26,7091,812727534
10000,27,1079,121357750
10000,28,2844,325218508
10000,29,31508,3531246446
10000,30,5034,574208400
10000,31,6047,679387626
10000,32,13430,1543063092
10000,33,12535,1396135911
10000,34,387,43649004
10000,35,5715,648385020
10000,36,14154,1591051990
10000,37,10481,1175434500
10000,38,10261,1156185726
10000,39,2721,315474290
10000,40,32027,3631534281
10000,41,10872,1242090000
10000,42,756,84574875
10000,43,6556,736407688
10000,44,1497,168369096
10000,45,2342,266814702
10000,46,8574,983403725
10000,47,3086,352603047
10000,48,2142,249794110
10000,49,27544,3093850499
10000,50,4511,512331444
10000,51,1409,158382168
10000,52,11801,1338445804
10000,53,22516,2597827568
10000,54,8648,996023405
10000,55,5614,639527616
10000,56,14799,1682167482
10000,57,16432,1839278025
10000,58,16283,1867593739
10000,59,6284,717302820
10000,60,10114,1143187023
10000,61,15808,1801675746
10000,62,35224,4065929214
10000,63,961,107262386
10000,64,5119,586413830
10000,65,1075,122096825
10000,66,11621,1330685581
10000,67,17531,1991810392
10000,68,21636,2501865549
10000,69,4097,475057380
10000,70,5280,613471140
10000,71,20999,2361556726
10000,72,4056,455134529
10000,73,2972,332685320
10000,74,4216,483343796
10000,75,43774,4912295864
10000,76,12043,1401263062
10000,77,25195,2875353122
10000,78,15405,1775952288
10000,79,3465,392293904
10000,80,15272,1752102846
10000,81,3473,400559432
10000,82,2617,301092957
10000,83,6030,681328320
10000,84,9951,1145009955
10000,85,15910,1791464580
10000,86,3385,379445270
10000,87,20107,2253035904
10000,88,3666,413059696
10000,89,381,43016896
10000,90,5788,647972747
10000,91,8297,955303296
10000,92,6534,741135128
10000,93,13428,1557522390
10000,94,11775,1358984718
10000,95,4114,483975178
10000,96,1556,181322616
10000,97,17981,2034985668
10000,98,4020,450985380
10000,99,1311,150589191
11000,0,15661,1792260218
11000,1,8532,969189683
11000,2,6611,738176565
11000,3,2711,309463630
11000,4,13354,1515596000
11000,5,3662,420254841
11000,6,25631,2897854630
11000,7,1182,131827948
11000,8,12699,1435166948
11000,9,17572,2020450728
11000,10,1821,210808410
11000,11,4321,493764336
11000,12,22646,2536612980
11000,13,17265,1952406400
11000,14,11978,1359622368
11000,15,16437,1854171810
11000,16,30603,3424950592
11000,17,3275,375416912
11000,18,4464,510550917
11000,19,10050,1133070554
11000,20,8821,1015970240
11000,21,9247,1064667869
11000,22,16154,1822034676
11000,23,3662,416117520
11000,24,14403,1655352924
11000,25,24329,2788067562
11000,26,8179,913050790
11000,27,1669,184048665
11000,28,24805,2799743596
11000,29,11714,1353773700
11000,30,1538,180532800
11000,31,13068,1473094968
11000,32,3940,447933004
11000,33,3998,456836930
11000,34,10576,1195030200
11000,35,2792,316726461
11000,36,6702,755769300
11000,37,9343,1041216000
11000,38,33408,3854486976
11000,39,22737,2624036346
11000,40,6003,692815403
11000,41,9326,1038334000
11000,42,4704,536040072
11000,43,16654,1913674224
11000,44,4268,495894880
11000,45,3203,358602456
11000,46,1653,186225291
11000,47,413,47001065
11000,48,2800,326245936
11000,49,11980,1373238774
11000,50,3292,382179951
11000,51,42154,4813615271
11000,52,50958,5728025910
11000,53,5252,600406955
11000,54,230,27850050
11000,55,12710,1442976080
11000,56,10287,1182733872
11000,57,18742,2091198771
11000,58,13869,1574142053
11000,59,3597,409532886
11000,60,9542,1110261846
11000,61,14967,1753007190
11000,62,17605,1972285200
11000,63,45074,5127301640
11000,64,20557,2376367981
11000,65,633,71413788
11000,66,428,48882978
11000,67,6514,741471984
11000,68,2208,249629560
11000,69,16704,1930333652
11000,70,11924,1370084160
11000,71,4174,483739566
11000,72,35967,4132276254
11000,73,11901,1392507558
11000,74,4345,504611136
