network_size,exp,tries,time[us]
7000,7,20890,426097
7000,8,14357,292136
7000,9,2068,41711
7000,10,2545,51536
7000,11,3397,68985
7000,12,3886,78720
7000,13,8850,178955
7000,14,2029,40868
7000,15,11002,221786
7000,16,14786,298778
7000,17,599,12503
7000,18,3481,70596
7000,19,4595,92873
7000,20,12399,253512
7000,21,9041,185444
7000,22,4615,96598
7000,23,5962,121666
7000,24,6396,130293
7000,25,503,10289
7000,26,13156,270525
7000,27,1755,35319
7000,28,354,7455
7000,29,7124,143807
7000,30,3641,74096
7000,31,7707,158518
7000,32,14250,294338
7000,33,7998,163211
7000,34,9140,185228
7000,35,1437,29185
7000,36,14397,290698
7000,37,18558,375942
7000,38,2107,42818
7000,39,9975,201392
7000,40,10696,216679
7000,41,2529,51219
7000,42,73,1536
7000,43,7879,159653
7000,44,14643,298017
7000,45,1590,32839
7000,46,3653,74849
7000,47,4385,90035
7000,48,214,4629
7000,49,15404,315715
7000,50,1956,40203
7000,51,15635,321507
7000,52,6739,137823
7000,53,6105,123508
7000,54,6260,127076
7000,55,4725,95540
7000,56,11422,230015
7000,57,25409,515700
7000,58,38930,790878
7000,59,8659,181305
7000,60,5945,125279
7000,61,13788,281225
7000,62,5467,110994
7000,63,3755,76230
7000,64,6454,130376
7000,65,2241,45576
7000,66,7456,150797
7000,67,549,11121
7000,68,26097,529795
7000,69,780,15843
7000,70,868,17453
7000,71,8161,164938
7000,72,5636,116072
7000,73,1904,39556
7000,74,227,4755
7000,75,8006,166140
7000,76,11167,230388
7000,77,8793,182419
7000,78,12737,256591
7000,79,3639,74459
7000,80,9402,191450
7000,81,4095,82721
7000,82,8697,176914
7000,83,3773,76763
7000,84,1957,40455
7000,85,476,9898
7000,86,3873,81221
7000,87,4062,84092
7000,88,10729,216617
7000,89,2005,40438
7000,90,1247,24992
7000,91,11956,240946
7000,92,5642,114959
7000,93,11520,237038
7000,94,3827,78976
7000,95,7607,154722
7000,96,12912,264196
7000,97,15799,328980
7000,98,2745,55692
7000,99,4055,82299
8000,0,12780,261213
8000,1,1322,26904
8000,2,26252,536044
8000,3,5796,119976
8000,4,65,1326
8000,5,1498,30498
8000,6,11213,226665
8000,7,1902,38388
8000,8,13204,266756
8000,9,4637,94681
8000,10,1429,28785
8000,11,176,3550
8000,12,1025,20890
8000,13,8718,177094
8000,14,840,16845
8000,15,18249,368315
8000,16,7250,146651
8000,17,1326,26901
8000,18,4477,90619
8000,19,12173,246025
8000,20,5864,118300
8000,21,5686,114891
8000,22,2696,54903
8000,23,2048,41779
8000,24,5260,106588
8000,25,7853,159107
8000,26,11833,240472
8000,27,3740,78435
8000,28,826,17315
8000,29,453,9457
8000,30,1825,37102
8000,31,2620,52999
8000,32,20835,421097
8000,33,10784,218986
8000,34,8159,164645
8000,35,4167,84409
8000,36,2197,44056
8000,37,927,18942
8000,38,4769,96350
8000,39,6594,134162
8000,40,2210,44342
8000,41,1468,29782
8000,42,4317,87344
8000,43,2573,51992
8000,44,8611,174725
8000,45,18356,370980
8000,46,2647,53910
8000,47,9350,188987
8000,48,15650,318987
8000,49,2027,42195
8000,50,14299,293033
8000,51,8464,173698
8000,52,12150,252507
8000,53,610,12667
8000,54,2986,62441
8000,55,2781,56234
8000,56,10931,222496
8000,57,3441,69700
8000,58,637,12928
8000,59,22400,451219
8000,60,10251,212073
8000,61,5897,119058
8000,62,14324,289765
8000,63,10306,211117
8000,64,1813,36825
8000,65,2617,52865
8000,66,7333,147858
8000,67,4621,94380
8000,68,11219,231547
8000,69,1381,27919
8000,70,1658,33358
8000,71,4668,94465
8000,72,1232,24723
8000,73,5667,115488
8000,74,6236,126052
8000,75,11067,224893
8000,76,8283,167391
8000,77,12868,259306
8000,78,1744,34991
8000,79,3034,61116
8000,80,6991,140947
8000,81,10154,204638
8000,82,3327,67525
8000,83,537,10838
8000,84,3107,63200
8000,85,6617,139383
8000,86,1621,34188
8000,87,13325,270340
8000,88,2915,59284
8000,89,29265,592855
8000,90,82,1685
8000,91,9712,199266
8000,92,1499,30800
8000,93,893,18058
8000,94,4984,101536
8000,95,19918,401497
8000,96,3994,80561
8000,97,3982,80938
8000,98,3649,76445
8000,99,15977,324064
9000,0,1253,25740
9000,1,555,11427
9000,2,13754,278620
9000,3,1693,34318
9000,4,6961,140702
9000,5,10124,208140
9000,6,17702,372833
9000,7,1611,34252
9000,8,32871,669682
9000,9,29142,588936
9000,10,10036,202814
9000,11,8167,165110
9000,12,6126,124503
9000,13,7669,154804
9000,14,10453,210872
9000,15,195,3998
9000,16,10191,205849
9000,17,6517,132539
9000,18,12639,255775
9000,19,16984,344015
9000,20,12802,258239
9000,21,6575,134816
9000,22,2157,43448
9000,23,1180,23945
9000,24,19432,392416
9000,25,937,19350
9000,26,13590,276483
9000,27,329,6614
9000,28,131,2617
9000,29,3438,69568
9000,30,3731,75619
9000,31,5080,102962
9000,32,15014,307319
9000,33,7567,155204
9000,34,201,4068
9000,35,20743,419091
9000,36,8088,163511
9000,37,3633,74029
9000,38,13224,267593
9000,39,7551,152914
9000,40,9906,200476
9000,41,7104,143948
9000,42,3771,76413
9000,43,8050,163095
9000,44,15492,312966
9000,45,29848,602399
9000,46,1829,37498
9000,47,8141,166222
9000,48,5837,117991
9000,49,11500,233856
9000,50,19177,386725
9000,51,18289,372827
9000,52,7814,159017
9000,53,853,17545
9000,54,9531,194626
9000,55,5512,112662
9000,56,3275,66255
9000,57,2669,53796
9000,58,12071,244442
9000,59,8878,181535
9000,60,2155,43219
9000,61,7270,148270
9000,62,10925,220811
9000,63,6162,124690
9000,64,11658,235619
9000,65,8007,161978
9000,66,5731,116859
9000,67,1849,37225
9000,68,25597,516229
9000,69,1155,23479
9000,70,1627,32683
9000,71,11254,231716
9000,72,2561,52121
9000,73,1520,31005
9000,74,11998,247238
9000,75,11301,232980
9000,76,13291,269189
9000,77,1446,28969
9000,78,36273,733940
9000,79,9463,190959
9000,80,6209,125965
9000,81,9217,186166
9000,82,37623,758814
9000,83,4297,86832
9000,84,9037,182786
9000,85,17210,346957
9000,86,17110,348520
9000,87,429,8652
9000,88,5738,117528
9000,89,9574,193957
9000,90,730,14919
9000,91,13156,265677
9000,92,20010,405319
9000,93,368,7486
9000,94,4906,99189
9000,95,1565,31578
9000,96,7090,143445
9000,97,11666,235476
9000,98,2824,56949
9000,99,21100,426766
10000,0,4292,86588
10000,1,26547,535100
10000,2,3642,74208
10000,3,5490,111142
10000,4,5345,107773
10000,5,540,10860
10000,6,9845,199575
10000,7,219,4406
10000,8,13179,265904
10000,9,14618,300399
10000,10,6550,132752
10000,11,24808,508771
10000,12,15988,341543
10000,13,22499,454517
10000,14,94,1919
10000,15,28354,575106
10000,16,1133,22955
10000,17,20096,407666
10000,18,957,19232
